sample_id,modality,baseline_class_confidence,ablated_class_confidence,class_confidence_drop,support_score_positive_drop,intensity_change_signed,ablation_warning
01,text,0.5729787945747375,0.2826482653617859,0.29033052921295166,0.29033052921295166,0.13684265315532684,full-modality zero input may be outside training distribution
01,audio,0.5729787945747375,0.6553714871406555,-0.08239269256591797,0.0,0.014804154634475708,full-modality zero input may be outside training distribution
01,vision,0.5729787945747375,0.6341057419776917,-0.0611269474029541,0.0,0.0021134912967681885,full-modality zero input may be outside training distribution
02,text,0.6269317269325256,0.6297847628593445,-0.0028530359268188477,0.0,0.20745155215263367,full-modality zero input may be outside training distribution
02,audio,0.6269317269325256,0.5809485912322998,0.04598313570022583,0.04598313570022583,-0.11796723306179047,full-modality zero input may be outside training distribution
02,vision,0.6269317269325256,0.49595364928245544,0.1309780776500702,0.1309780776500702,-0.23318353295326233,full-modality zero input may be outside training distribution
03,text,0.5229359269142151,0.26248207688331604,0.26045385003089905,0.26045385003089905,-0.42193612456321716,full-modality zero input may be outside training distribution
03,audio,0.5229359269142151,0.568587601184845,-0.04565167427062988,0.0,0.08794660866260529,full-modality zero input may be outside training distribution
03,vision,0.5229359269142151,0.5501064658164978,-0.027170538902282715,0.0,0.1431121975183487,full-modality zero input may be outside training distribution
04,text,0.5032095313072205,0.08637968450784683,0.4168298467993736,0.4168298467993736,-0.9482374340295792,full-modality zero input may be outside training distribution
04,audio,0.5032095313072205,0.6821581721305847,-0.17894864082336426,0.0,0.6206976622343063,full-modality zero input may be outside training distribution
04,vision,0.5032095313072205,0.6635870337486267,-0.16037750244140625,0.0,0.500188484787941,full-modality zero input may be outside training distribution
05,text,0.8053970336914062,0.6749923229217529,0.13040471076965332,0.13040471076965332,0.3144957423210144,full-modality zero input may be outside training distribution
05,audio,0.8053970336914062,0.822352945804596,-0.016955912113189697,0.0,-0.19631057977676392,full-modality zero input may be outside training distribution
05,vision,0.8053970336914062,0.6342471241950989,0.17114990949630737,0.17114990949630737,0.4058610498905182,full-modality zero input may be outside training distribution
06,text,0.6352866888046265,0.1650976985692978,0.4701889902353287,0.4701889902353287,0.49848438799381256,full-modality zero input may be outside training distribution
06,audio,0.6352866888046265,0.7945579886436462,-0.15927129983901978,0.0,-0.2691301107406616,full-modality zero input may be outside training distribution
06,vision,0.6352866888046265,0.7029253840446472,-0.06763869524002075,0.0,-0.0948336124420166,full-modality zero input may be outside training distribution
07,text,0.6336236596107483,0.3565642833709717,0.2770593762397766,0.2770593762397766,0.6020822674036026,full-modality zero input may be outside training distribution
07,audio,0.6336236596107483,0.6624161601066589,-0.028792500495910645,0.0,-0.055815815925598145,full-modality zero input may be outside training distribution
07,vision,0.6336236596107483,0.5914947390556335,0.042128920555114746,0.042128920555114746,0.0417478084564209,full-modality zero input may be outside training distribution
08,text,0.5969381928443909,0.2218484729528427,0.37508971989154816,0.37508971989154816,0.7464406937360764,full-modality zero input may be outside training distribution
08,audio,0.5969381928443909,0.6902152895927429,-0.09327709674835205,0.0,-0.17095470428466797,full-modality zero input may be outside training distribution
08,vision,0.5969381928443909,0.6875148415565491,-0.0905766487121582,0.0,-0.19290709495544434,full-modality zero input may be outside training distribution
09,text,0.9562392234802246,0.3763577938079834,0.5798814296722412,0.5798814296722412,-1.8661187440156937,full-modality zero input may be outside training distribution
09,audio,0.9562392234802246,0.9631478190422058,-0.006908595561981201,0.0,0.17251622676849365,full-modality zero input may be outside training distribution
09,vision,0.9562392234802246,0.9519584774971008,0.004280745983123779,0.004280745983123779,0.011611700057983398,full-modality zero input may be outside training distribution
10,text,0.9144662022590637,0.18948177993297577,0.724984422326088,0.724984422326088,-1.6037165820598602,full-modality zero input may be outside training distribution
10,audio,0.9144662022590637,0.9379756450653076,-0.023509442806243896,0.0,0.3995429277420044,full-modality zero input may be outside training distribution
10,vision,0.9144662022590637,0.9204351305961609,-0.005968928337097168,0.0,0.07342541217803955,full-modality zero input may be outside training distribution
11,text,0.7971305847167969,0.3861039876937866,0.41102659702301025,0.41102659702301025,-0.8067852407693863,full-modality zero input may be outside training distribution
11,audio,0.7971305847167969,0.7841858267784119,0.01294475793838501,0.01294475793838501,0.01225137710571289,full-modality zero input may be outside training distribution
11,vision,0.7971305847167969,0.7308761477470398,0.06625443696975708,0.06625443696975708,-0.0809628963470459,full-modality zero input may be outside training distribution
12,text,0.7625060081481934,0.40969109535217285,0.3528149127960205,0.3528149127960205,-0.5670250058174133,full-modality zero input may be outside training distribution
12,audio,0.7625060081481934,0.8616423010826111,-0.09913629293441772,0.0,0.3189287781715393,full-modality zero input may be outside training distribution
12,vision,0.7625060081481934,0.7394550442695618,0.023050963878631592,0.023050963878631592,-0.11354708671569824,full-modality zero input may be outside training distribution
13,text,0.5159202814102173,0.27635452151298523,0.23956575989723206,0.23956575989723206,0.09097684174776077,full-modality zero input may be outside training distribution
13,audio,0.5159202814102173,0.5945645570755005,-0.0786442756652832,0.0,-0.0044812411069869995,full-modality zero input may be outside training distribution
13,vision,0.5159202814102173,0.5159202814102173,0.0,0.0,0.0,full-modality zero input may be outside training distribution
14,text,0.554969847202301,0.751626193523407,-0.19665634632110596,0.0,-0.3254256248474121,full-modality zero input may be outside training distribution
14,audio,0.554969847202301,0.5969563722610474,-0.04198652505874634,0.0,-0.052645206451416016,full-modality zero input may be outside training distribution
14,vision,0.554969847202301,0.22906647622585297,0.32590337097644806,0.32590337097644806,0.4446221888065338,full-modality zero input may be outside training distribution
15,text,0.9180015921592712,0.7432723045349121,0.17472928762435913,0.17472928762435913,0.5972927212715149,full-modality zero input may be outside training distribution
15,audio,0.9180015921592712,0.933356761932373,-0.015355169773101807,0.0,0.045789480209350586,full-modality zero input may be outside training distribution
15,vision,0.9180015921592712,0.9165474772453308,0.0014541149139404297,0.0014541149139404297,-0.06106555461883545,full-modality zero input may be outside training distribution
16,text,0.9491874575614929,0.5010385513305664,0.4481489062309265,0.4481489062309265,-1.5621417760849,full-modality zero input may be outside training distribution
16,audio,0.9491874575614929,0.9515781402587891,-0.0023906826972961426,0.0,-0.012631416320800781,full-modality zero input may be outside training distribution
16,vision,0.9491874575614929,0.953239917755127,-0.004052460193634033,0.0,0.10221827030181885,full-modality zero input may be outside training distribution
17,text,0.9444058537483215,0.45744284987449646,0.4869630038738251,0.4869630038738251,1.1687219440937042,full-modality zero input may be outside training distribution
17,audio,0.9444058537483215,0.9488906264305115,-0.004484772682189941,0.0,-0.10850250720977783,full-modality zero input may be outside training distribution
17,vision,0.9444058537483215,0.9358193874359131,0.008586466312408447,0.008586466312408447,0.03548622131347656,full-modality zero input may be outside training distribution
18,text,0.4649878442287445,0.23755115270614624,0.22743669152259827,0.22743669152259827,0.12247632443904877,full-modality zero input may be outside training distribution
18,audio,0.4649878442287445,0.5150060057640076,-0.05001816153526306,0.0,-0.006840355694293976,full-modality zero input may be outside training distribution
18,vision,0.4649878442287445,0.5618313550949097,-0.09684351086616516,0.0,-0.0961716827005148,full-modality zero input may be outside training distribution
19,text,0.5751173496246338,0.6512558460235596,-0.07613849639892578,0.0,-0.1507750153541565,full-modality zero input may be outside training distribution
19,audio,0.5751173496246338,0.5249934792518616,0.05012387037277222,0.05012387037277222,0.020976871252059937,full-modality zero input may be outside training distribution
19,vision,0.5751173496246338,0.40841200947761536,0.16670534014701843,0.16670534014701843,0.27937112003564835,full-modality zero input may be outside training distribution
20,text,0.9161825776100159,0.2812574803829193,0.6349250972270966,0.6349250972270966,1.4095249027013779,full-modality zero input may be outside training distribution
20,audio,0.9161825776100159,0.929487407207489,-0.013304829597473145,0.0,-0.026465892791748047,full-modality zero input may be outside training distribution
20,vision,0.9161825776100159,0.8345593810081482,0.08162319660186768,0.08162319660186768,0.20829784870147705,full-modality zero input may be outside training distribution
